index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
0,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\OpenPgpError.java,OpenPgpError,96,10,6,2,2,False,False,3,True,False,0,4,2,8,False,False,False,True,False,public,6,0,0,False,Information Holder
1,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\OpenPgpDecryptionResult.java,OpenPgpDecryptionResult,102,8,4,0,1,False,False,4,False,False,1,2,2,9,False,False,False,True,False,public,4,0,0,False,Information Holder
2,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\OpenPgpMetadata.java,OpenPgpMetadata,126,7,8,0,5,False,False,3,False,False,1,2,2,11,False,False,False,True,False,public,8,0,0,False,Information Holder
3,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\OpenPgpSignatureResult.SenderStatusResult.java,SenderStatusResult,21,5,0,0,0,False,False,3,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
4,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\util\OpenPgpApi.CancelableBackgroundOperation.java,CancelableBackgroundOperation,19,0,0,0,0,False,False,3,False,False,0,0,0,0,False,True,True,False,False,public,0,0,0,False,Service Provider
5,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\OpenPgpSignatureResult.java,OpenPgpSignatureResult,200,19,16,0,6,False,False,4,False,False,6,16,6,14,False,False,False,True,False,public,14,2,0,False,Structurer
6,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\util\OpenPgpApi.IOpenPgpCallback.java,IOpenPgpCallback,20,0,0,0,0,False,False,4,False,False,0,0,1,0,False,True,True,False,False,public,0,0,0,False,Service Provider
7,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\util\OpenPgpApi.IOpenPgpSinkResultCallback.java,IOpenPgpSinkResultCallback,21,0,0,0,0,False,False,6,False,False,0,0,1,0,False,True,True,False,False,public,0,0,0,False,Service Provider
8,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\util\OpenPgpApi.OpenPgpAsyncTask.java,OpenPgpAsyncTask,39,4,2,0,0,False,False,4,False,False,0,2,4,0,False,False,True,True,False,default,0,0,2,False,Service Provider
9,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\util\OpenPgpApi.OpenPgpDataResult.java,OpenPgpDataResult,25,2,0,0,0,False,False,4,False,False,0,0,1,0,True,False,True,True,False,public,0,0,0,False,Information Holder
10,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\util\OpenPgpApi.OpenPgpDataSink.java,OpenPgpDataSink,21,0,0,0,0,False,False,4,False,False,0,0,2,0,False,True,True,False,False,public,0,0,0,False,Service Provider
11,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\util\OpenPgpApi.OpenPgpDataSource.java,OpenPgpDataSource,49,2,4,0,1,False,False,4,False,False,1,0,4,3,True,False,True,True,False,public,3,1,0,True,Information Holder
12,\plugins\openpgp-api-lib\openpgp-api\src\main\java\org\openintents\openpgp\util\OpenPgpApi.OpenPgpSourceSinkAsyncTask.java,OpenPgpSourceSinkAsyncTask,46,4,3,0,0,False,False,6,False,False,1,2,2,1,False,False,True,True,False,private,1,0,2,False,Information Holder
